MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	Pay	RT	Resp	ChosenSide	choice	Stay
1	1	0	0.2	0.2	0.2	1	0	0	1	1	263	0	581.887809559703	j	1	0	1
1	2	0.8	0	0.2	0	0	2	1	1	1	264	0	610.003488138318	j	1	1	0
0	1	0.2	0	0	0.2	1	1	1	0	1	265	0	337.252121418715	k	2	1	0
0	1	0.4	0.6	0	0	0	0	0	1	1	266	0.6	417.756957933307	j	1	1	1
1	2	0.6	0.6	0	0	1	2	1	1	1	267	0.6	670.476160943508	j	1	1	1
1	1	0	0.6	0.6	0	0	1	1	0	1	268	0.6	414.785236120224	j	1	1	1
1	1	0.4	0.2	0.6	0.6	1	0	0	1	1	269	0.2	446.071166545153	j	1	1	1
0	2	0.4	0.2	0.6	0.6	0	2	1	1	1	270	0.2	721.496237441897	k	2	1	1
1	2	0.6	0.8	0.2	0.2	0	0	0	1	1	271	0.8	468.761013820767	k	2	1	1
0	2	0.2	0.8	0.8	0.2	1	0	0	0	1	272	0.8	387.658564373851	k	2	1	1
0	2	0.8	0.2	0.8	0.8	1	0	0	0	1	273	0.2	422.301255166531	k	2	1	1
